[PERF] units H:37 E:51 | tick avg 0.61ms max 6.16ms (n=301) | move 89.7ms | target 0.9ms (384 calls) | path 38.1ms max 3.71ms (15 calls) | fog 48.9ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.79ms max 6.28ms (n=300) | move 131.1ms | target 0.3ms (139 calls) | path 79.1ms max 4.66ms (30 calls) | fog 54.8ms | minimap 0.4ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.79ms max 6.02ms (n=300) | move 132.6ms | target 0.2ms (63 calls) | path 81.6ms max 4.90ms (32 calls) | fog 54.0ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.72ms max 6.45ms (n=300) | move 111.3ms | target 0.2ms (75 calls) | path 57.8ms max 4.30ms (22 calls) | fog 54.3ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.63ms max 6.04ms (n=301) | move 92.4ms | target 0.2ms (62 calls) | path 39.7ms max 3.79ms (12 calls) | fog 50.0ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:51 | tick avg 0.55ms max 6.08ms (n=300) | move 65.2ms | target 0.3ms (130 calls) | path 17.0ms max 5.04ms (13 calls) | fog 54.3ms | minimap 0.3ms | ai 1.6ms | window 5.0s
[PERF] units H:37 E:50 | tick avg 0.70ms max 10.86ms (n=301) | move 109.4ms | target 0.2ms (82 calls) | path 55.5ms max 5.20ms (14 calls) | fog 55.1ms | minimap 0.3ms | ai 0.2ms | window 5.0s
[PERF] units H:37 E:49 | tick avg 0.66ms max 5.88ms (n=300) | move 101.0ms | target 0.2ms (82 calls) | path 52.1ms max 5.15ms (18 calls) | fog 54.2ms | minimap 0.3ms | ai 0.1ms | window 5.0s
[PERF] units H:37 E:48 | tick avg 0.53ms max 6.58ms (n=300) | move 63.6ms | target 0.7ms (266 calls) | path 12.0ms max 5.19ms (6 calls) | fog 50.1ms | minimap 0.4ms | ai 0.3ms | window 5.0s
[PERF] units H:37 E:47 | tick avg 0.53ms max 6.03ms (n=300) | move 59.9ms | target 0.2ms (80 calls) | path 1.7ms max 0.37ms (5 calls) | fog 54.1ms | minimap 0.3ms | ai 0.1ms | window 5.0s
